card_no,bird_name,bird_name_ko,tts_text,voice_tag,review_status,source_file_name,source_vo_id,source_transcript,source_score
11,Bronzed Cowbird,청동찌르레기,청동찌르레기입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,11_Bronzed_Cowbird_VO_1.wav,1,Bronzed cowbird. Cowbirds lay eggs in other birds nests and often break or push out the host bird's eggs.,75
12,Barrows Goldeneye,배로흰죽지오리,배로흰죽지오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,12_barrows_goldeneye_VO_3.wav,3,Barrows goldeneye. These ducks will lay their eggs in the nest of any cavity nesting duck.,75
13,Eastern Kingbird,동부킹버드,동부킹버드입니다. 나뭇가지에서 기다리다가 날아오르는 곤충을 재빠르게 낚아챕니다.,Jean,draft,13_Eastern_Kingbird_VO_3.wav,3,Eastern Kingbird. The Kingbird displays its orange crown while defending its territory.,75
14,Belted Kingfisher,띠물총새,띠물총새입니다. 물가에서 기다리다가 빠르게 뛰어들어 물고기를 잡는 새입니다.,Jean,draft,14_Belted_Kingfisher_VO_1.wav,1,Belted Kingfisher. The Kingfisher burrow can go up to six feet into a riverbank and slopes to shed water.,75
15,Turkey Vulture,칠면조독수리,칠면조독수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,15_Turkey_Vulture_VO_1.wav,1,Turkey Vulture. Turkey vultures can projectile vomit to defend themselves.,75
16,Black Billed Magpie,검은billed까치,검은billed까치입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,16_Black_Billed_Magpie_VO_1.wav,1,Black Billed Magpie. These omnivores steal eggs and eat carrion along with the diversity of other foods.,75
17,Black Vulture,검은독수리,검은독수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,17_Black_Vulture_VO_2.wav,2,"Black Vulture. Turkey vultures have a better sense of smell, so Black Vultures follow them to food.",75
18,Horned Lark,뿔종다리,뿔종다리입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,18_Horned_Lark_VO_2.wav,2,"Horned Lark. Horned larks form large nomadic flocks, mixing with other bird species.",75
19,Mountain Chickadee,산박새,산박새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,19_Mountain_Chickadee_VO_1.wav,1,Mountain chickadee. Mountain chickadees are generally found in the conifer forests of the American West.,75
20,White Breasted Nuthatch,흰가슴동고비,흰가슴동고비입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,20_White_Breasted_Nuthatch_VO_2.wav,2,White Breasted Nuthatch. Nuthatch is cachet seeds for winter in the bark of a tree.,75
21,Carolina Chickadee,캐롤라이나박새,캐롤라이나박새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,21_Carolina_Chickadee_VO_1.wav,1,Carolina Chickadee. Chickadees hide seeds and can remember thousands of hiding places.,75
22,Red Breasted Nuthatch,붉은가슴동고비,붉은가슴동고비입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,22_Red_Breasted_Nuthatch_VO_2.wav,2,Red Breasted Nuthatch. These birds put resin around their nest opening to keep out attackers.,75
23,Juniper Titmouse,향나무박새,향나무박새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,23_Juniper_Titmouse_VO_2.wav,2,Juniper Titmouse. These little birds make it through winter by storing seeds.,75
24,Blue Jay,푸른어치,푸른어치입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,24_Blue_Jay_VO_2.wav,2,Blue Jay. Blue Jays can carry up to five acorns and will store hundreds for winter.,75
25,Stellers Jay,스텔러어치,스텔러어치입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,25_stellers_jay_VO_1.wav,1,Stellers jay. Naturalist Jorg Steller saw this bird on a Russian exploration to Alaska in 1741.,75
26,Clarks Nutcracker,클라크잣까마귀,클라크잣까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,26_Clarks_Nutcracker_VO_1.wav,1,Clarks Nutcracker. These birds are omnivorous but cash thousands of pine seeds for the winter.,75
27,Red Headed Woodpecker,붉은머리딱따구리,붉은머리딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,27_Red_Headed_Woodpecker_VO_2.wav,2,"Red Headed Woodpecker. These woodpeckers store nuts, seeds, and insects in wood or under bark.",75
28,Acorn Woodpecker,도토리딱따구리,도토리딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,28_Acorn_Woodpecker_VO_1.wav,1,"Acorn Woodpecker. In a single dead tree, these birds may drill as many as 50,000 holes for storing acorns.",75
29,Red Bellied Woodpecker,붉은bellied딱따구리,붉은bellied딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,29_Red_Bellied_Woodpecker_VO_2.wav,2,"Red-bellied Woodpecker. These birds' tongues reach out two inches for insects, but seeds are half their diet.",60
30,Northern Shoveler,북부넓적부리,북부넓적부리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,30_Northern_Shoveler_VO_2.wav,2,Northern Shoveler. The shoveler's large bill strains invertebrates from the water.,75
31,Spotted Sandpiper,점박이도요새,점박이도요새입니다. 해안과 습지 가장자리에서 긴 부리로 작은 먹이를 찾아냅니다.,Jean,draft,31_Spotted_Sandpiper_VO_2.wav,2,Spotted Sandpiper. These sandpipers constantly bob their tails. People call them teeter peeps and tiptails.,75
32,Purple Gallinule,보라물닭,보라물닭입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,32_Purple_Gallinule_VO_1.wav,1,"Purple Gallinule. With its long toes, this bird can walk on lily pads without sinking.",75
33,Wilsons Snipe,윌슨꺅도요,윌슨꺅도요입니다. 해안과 습지 가장자리에서 긴 부리로 작은 먹이를 찾아냅니다.,Jean,draft,33_wilsons_snipe_VO_1.wav,1,"wilsons snipe. Due to the position of their eyes, wilsons snipes can see predators approaching from the front and back.",75
34,Common Loon,일반아비,일반아비입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,34_Common_Loon_VO_3.wav,3,Common Loon. Loon chicks spend the majority of their first week of life writing on a parent's back.,75
35,American Bittern,아메리카해오라기,아메리카해오라기입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,35_american_bittern_VO_3.wav,3,American bittern. Bitterns hide in reeds and cattails or they are well camouflaged.,75
36,Eastern Phoebe,동부피비새,동부피비새입니다. 나뭇가지에서 기다리다가 날아오르는 곤충을 재빠르게 낚아챕니다.,Jean,draft,36_Eastern_Phoebe_VO_2.wav,2,"Eastern Phoebe. Phoebe's use mud to attach nests to riverbanks, rocky outcrops, or human structures.",75
37,Scissor Tailed Flycatcher,가위꼬리딱새,가위꼬리딱새입니다. 나뭇가지에서 기다리다가 날아오르는 곤충을 재빠르게 낚아챕니다.,Jean,draft,37_Scissor_Tailed_Flycatcher_VO_1.wav,1,Scissor Tailed Flycatcher. The mating display of these birds involves aerial acrobatics that show off the long tail.,75
38,Osprey,물수리,물수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,38_Osprey_VO_1.wav,1,"Ospreys are excellent hunters, catching a fish in at least one out of every four dives.",75
39,Ruby Throated Hummingbird,루비throated벌새,루비throated벌새입니다. 공중에 정지하듯 날며 꽃의 꿀을 빠는 작은 새입니다.,Jean,draft,39_ruby_throated_hummingbird_VO_3.wav,3,"Ruby throated hummingbird. Hummingbirds feed on nectar, but they also eat many small insects.",75
40,Annas Hummingbird,안나벌새,안나벌새입니다. 공중에 정지하듯 날며 꽃의 꿀을 빠는 작은 새입니다.,Jean,draft,40_Annas_Hummingbird_VO_2.wav,2,Annas Hummingbird. These birds' impressive mating displays involve diving from over 100 feet in the air.,75
41,Great Crested Flycatcher,큰볏딱새,큰볏딱새입니다. 나뭇가지에서 기다리다가 날아오르는 곤충을 재빠르게 낚아챕니다.,Jean,draft,41_great_crested_flycatcher_VO_3.wav,3,Great crested flycatcher. These birds avoid competition by focusing on insects high up in trees.,75
42,Blue Gray Gnatcatcher,푸른회색모기잡이새,푸른회색모기잡이새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,42_Blue_Gray_Gnatcatcher_VO_3.wav,3,Blue Gray Gnatcatcher. Gnatcatcher's breeding range is steadily shifting north with climate change.,75
43,Hermit Thrush,은둔지빠귀,은둔지빠귀입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,43_Hermit_Thrush_VO_1.wav,1,Hermit Thrush. Hermit thrushes tend to nest on the ground in the western U.S. and in trees in the east.,75
44,Killdeer,킬디어새,킬디어새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,44_Killdeer_VO_1.wav,1,Killdeer. Killdeers will fake a broken wing to lure predators from their nests.,75
45,Franklins Gull,프랭클린갈매기,프랭클린갈매기입니다. 바다와 호수 주변에서 생활하며 물고기와 작은 수생 동물을 노립니다.,Jean,draft,45_Franklins_Gull_VO_1.wav,1,Franklin's Gull. These gulls make floating nests of plant material on prairie marshes.,60
46,Mallard,청둥오리,청둥오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,46_Mallard_VO_3.wav,3,Mallards are among the most abundant ducks in the world.,75
47,Forsters Tern,포스터제비갈매기,포스터제비갈매기입니다. 바다와 호수 주변에서 생활하며 물고기와 작은 수생 동물을 노립니다.,Jean,draft,47_Forsters_Tern_VO_1.wav,1,Forsters Tern. These birds nest on the ground on a raft of floating vegetation or on muskret lodges.,75
48,Black Tern,검은제비갈매기,검은제비갈매기입니다. 바다와 호수 주변에서 생활하며 물고기와 작은 수생 동물을 노립니다.,Jean,draft,48_Black_Ternr_VO_1.wav,1,Black Tern. These terns build floating nests out of marsh plants.,60
49,Clarks Grebe,클라크논병아리,클라크논병아리입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,49_Clarks_Grebe_VO_1.wav,1,Clarks Grebe. Clark was a 19th century surveyor who collected specimens for the Smithsonian.,75
50,Wood Duck,wood오리,wood오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,50_Wood_Duck_VO_3.wav,3,Wood Duck. Wood ducks nest in tree cavities and wooded areas.,75
51,Ruddy Duck,붉은빛오리,붉은빛오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,51_Ruddy_Duck_VO_1.wav,1,"Ruddy Duck. To display for mates, males slap their blue bills on their chests and run across the water.",75
52,Common Yellowthroat,일반노란목솔새,일반노란목솔새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,52_Common_Yellowthroat_VO_3.wav,3,Common Yellowthroat. This was one of the first American birds to be cataloged by Linnaeus in 1766.,75
53,Pied Billed Grebe,얼룩부리논병아리,얼룩부리논병아리입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,53_Pied_Billed_Grebe_VO_1.wav,1,Pied Billed Grebe. Pied Billed Grebes create a floating platform nest with plant material.,75
54,Pileated Woodpecker,도가머리딱따구리,도가머리딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,54_pileated_woodpecker_VO_1.wav,1,Other birds use these birds' old nests and gleam bugs where they've been feeding.,60
55,Western Meadowlark,서부종다리,서부종다리입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,55_Western_Meadowlark_VO_1.wav,1,Western Meadowlark. This pretty bird also has a beautiful flute-like song.,75
56,Grasshopper Sparrow,메뚜기참새,메뚜기참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,56_Grasshopper_Sparrow_VO_1.wav,1,Grasshopper Sparrow. The Grasshopper-like song of these sparrows is often overlooked.,75
57,Chipping Sparrow,칩핑참새,칩핑참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,57_Chipping_Sparrow_VO_1.wav,1,Chipping Sparrow. These sparrows generally feed on open ground but near trees.,75
58,Cassins Sparrow,캐신참새,캐신참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,58_Cassins_Sparrow_VO_2.wav,2,Can you see the picture of Cassins Sparrow? Can you see the picture of Cassins Sparrow? Did you see the picture of Cassins Sparrow?,75
59,Bairds Sparrow,베어드참새,베어드참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,59_Bairds_Sparrow_VO_3.wav,3,Bairds Sparrow. Spencer Baird was the first curator of the Smithsonian.,75
60,California Quail,캘리포니아메추라기,캘리포니아메추라기입니다. 주로 땅 위에서 생활하며 풀숲과 덤불 사이를 빠르게 오갑니다.,Jean,draft,60_California_Quail_VO_3.wav,3,California Quail. California quail nests have been reported with as many as 28 eggs.,75
61,Northern Bobwhite,북부bobwhite새,북부bobwhite새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,61_Northern_Bobwhite_VO_2.wav,2,"Northern Bobwhite. Bobwhites are prolific breeders, but their numbers are in decline.",75
62,Mourning Dove,애도비둘기,애도비둘기입니다. 부드러운 울음소리와 씨앗을 먹는 습성이 잘 알려진 새입니다.,Jean,draft,62_Mourning_Dove_VO_1.wav,1,Mourning Dove. One pair of doves may raise five or six small broods in a year.,75
63,Baltimore Oriole,baltimore꾀꼬리,baltimore꾀꼬리입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,63_baltimore_oriole_VO_1.wav,1,"Baltimore Oriole, Orioles weave pouch nests that hang from a tree branch.",75
64,Red Crossbill,붉은crossbill새,붉은crossbill새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,64_Red_Crossbill_VO_3.wav,3,These birds use their specialized bills to pry apart conifer seed cones.,60
65,Lazuli Bunting,라줄리멧새,라줄리멧새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,65_Lazuli_Bunting_VO_2.wav,2,Lazuli Bunting. The Latin name Amina means beautiful or charming.,75
66,American Crow,아메리카까마귀,아메리카까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,66_American_Crow_VO_1.wav,1,American Crow. These intelligent birds steal eggs and food from other birds and cash food for later.,75
67,Fish Crow,fish까마귀,fish까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,67_Fish_Crow_VO_1.wav,1,"Fish Crow. These birds may eat more fish than other crows, but they're actually omnivores.",75
68,Black Crowned Night Heron,검은crownednight왜가리,검은crownednight왜가리입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,68_black_crowned_night_heron_VO_3.wav,3,"Black crowned night heron. Night herons eat carrion and eggs in addition to fish, rodents, and invertebrates.",75
69,Chihuahuan Raven,치와와큰까마귀,치와와큰까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,69_Chihuahuan_Raven_VO_3.wav,3,Chihuahuan Raven. This bird is native to the Chihuahuan Desert of the southwest U.S. and northern Mexico.,75
70,Common Raven,큰까마귀,큰까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,70_Common_Raven_VO_1.wav,1,"Common Raven. Ravens are omnivores whose diet includes insects, rodents, eggs, birds, and carrion.",75
71,Northern Cardinal,북부홍관조,북부홍관조입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,71_Northern_Cardinal_VO_2.wav,2,"Northern Cardinal. In most North American species only males sing, but female cardinals break this rule.",75
72,Yellow Bellied Sapsucker,노란bellied딱따구리,노란bellied딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,72_Yellow_Bellied_Sapsucker_VO_1.wav,1,Yellow Bellied Sapsucker. Sapsuckers drill rows of holes in trees then lap up the sap and the insects it attracts.,75
73,Indigo Bunting,남색멧새,남색멧새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,73_Indigo_Bunting_VO_1.wav,1,Indigo Buntings are almost always found on forest edges.,75
74,Western Tanager,서부풍금조,서부풍금조입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,74_Western_Tanager_VO_1.wav,1,Western Tanager. These flame-colored birds are hard to see because they like the canopies of evergreen forests.,75
75,Spotted Towhee,점박이토히,점박이토히입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,75_Spotted_Towhee_VO_1.wav,1,Spotted Towhee. These birds forage by hopping backwards to uncover insects and seeds in the leaf litter.,75
76,Rose Breasted Grosbeak,장밋빛가슴콩새,장밋빛가슴콩새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,76_Rose_Breasted_Grosbeak_VO_3.wav,3,This pretty sweet sounding bird has the gruesome nickname Cutthroat.,60
77,Green Heron,초록왜가리,초록왜가리입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,77_Green_Heron_VO_1.wav,1,Green Heron. Green herons drop insects and other objects onto the water to attract fish.,75
78,Gray Catbird,회색catbird새,회색catbird새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,78_gray_catbird_VO_1.wav,1,Gray catbird. Catbirds mimic other birds and also have a call that sounds like a cat meowing.,75
79,Northern Mockingbird,북부흉내지빠귀,북부흉내지빠귀입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,79_Northern_Mockingbird_VO_3.wav,3,Northern Mockingbird. A male mockingbird may learn around 200 songs throughout its life.,75
80,Hooded Merganser,두건비오리,두건비오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,80_Hooded_Merganser_VO_1.wav,1,Hooded Merganser. Merganser chicks jump from their cavity nest to the ground when they're just one day old.,75
81,Bewicks Wren,뷰익굴뚝새,뷰익굴뚝새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,81_bewicks_wren_VO_12.wav,12,Buicks wren. These wrens have largely disappeared in the eastern part of their range due to nest predators.,60
82,Yellow Breasted Chat,노란가슴챗,노란가슴챗입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,82_Yellow_Breasted_Chat_VO_3.wav,3,"Yellow Breasted Chat. Because these birds like dense thickets, they are more often heard than seen.",75
83,Common Nighthawk,일반쏙독새,일반쏙독새입니다. 하늘을 빠르게 날며 날아다니는 곤충을 잡아먹습니다.,Jean,draft,83_Common_Nighthawk_VO_1.wav,1,"Common Nighthawk. Nighthawks are crepuscular, hunting flying insects at dawn and dusk.",75
84,Song Sparrow,노래참새,노래참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,84_Song_Sparrow_VO_1.wav,1,"Song Sparrow. When resources are abundant, Song Sparrows can rear four clutches of eggs.",75
85,White Crowned Sparrow,흰crowned참새,흰crowned참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,85_White_Crowned_Sparrow_VO_1.wav,1,White Crowned Sparrow. These sparrows like shrubby areas in many habitats from tundra to desert.,75
86,Chimney Swift,chimney칼새,chimney칼새입니다. 하늘을 빠르게 날며 날아다니는 곤충을 잡아먹습니다.,Jean,draft,86_Chimney_Swift_VO_1.wav,1,Chimney Swift. These birds have adapted to nest in chimneys instead of hollow trees.,75
87,Blue Grosbeak,푸른콩새,푸른콩새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,87_Blue_Grosbeak_VO_2.wav,2,Blue Grosbeak. Grosbeaks especially like tangled vines and shrubby areas on forest edges.,75
88,Lincolns Sparrow,링컨참새,링컨참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,88_Lincolns_Sparrow_VO_1.wav,1,Lincoln Sparrow. Thomas Lincoln collected the Sparrow in Canada with John James Audubon.,60
89,Greater Roadrunner,큰로드러너,큰로드러너입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,89_Greater_Roadrunner_VO_1.wav,1,"Greater Roadrunner. Roadrunners rarely fly, but will jump up to snatch prey out of the air.",75
90,Red Tailed Hawk,붉은tailed매,붉은tailed매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,90_Red_Tailed_Hawk_VO_1.wav,1,Red Tailed Hawk. Movies almost always use the Red Tailed Hawk's call for any raptor.,75
91,Northern Harrier Tj,북부개구리매,북부개구리매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,91_Northern_Harrier_VO_1.wav,1,Northern Harrier. Northern Harriers fly low over marshes and grasslands seeking prey.,75
92,Coopers Hawk,쿠퍼매,쿠퍼매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,92_Coopers_Hawk_VO_3.wav,3,Coopers Hawk. Coopers Hawks hunt forest birds and mammals with great stealth.,75
93,Red Shouldered Hawk,붉은shouldered매,붉은shouldered매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,93_Red_Shouldered_Hawk_VO_1.wav,1,"Red Shouldered Hawk. These hawks hunt from a perch, swooping down when prey is nearby.",75
94,Barred Owl,줄무늬올빼미,"줄무늬올빼미입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,94_Barred_Owl_VO_2.wav,2,"Barred Owl. The Barred Owl's haunting call sounds like, who cooks for you?",75
95,Swainsons Hawk,스웨인슨매,스웨인슨매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,95_Swainsons_Hawk_VO_3.wav,3,"Swainsons Hawk. These hawks feed chicks, small mammals and birds, but adults eat mostly insects.",75
96,Peregrine Falcon,peregrine매,peregrine매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,96_Peregrine_Falcon_VO_1.wav,1,Peregrine Falcon. Diving to attack. A Peregrine Falcon can reach speeds up to 200 miles per hour.,75
97,Golden Eagle,검독수리,검독수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,97_Golden_Eagle_VO_23.wav,23,"Golden Eagle. Golden Eagles mostly eat rabbit-sized prey, but can go after livestock and birds.",75
98,Great Horned Owl,아메리카수리부엉이,"아메리카수리부엉이입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,98_Great_Horned_Owl_VO_1.wav,1,"Great Horned Owl. These strong owls can kill large prey including skunks, cats and dogs.",75
99,Common Merganser,일반비오리,일반비오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,99_Common_Merganser_VO_1.wav,1,Common Merganser. Adult males can eat fish more than a foot long.,75
100,Willet,윌렛,윌렛입니다. 해안과 습지 가장자리에서 긴 부리로 작은 먹이를 찾아냅니다.,Jean,draft,100_Willet_VO_1.wav,1,Willet's feed during the day and the night.,55
101,Anhinga,아닝가새,아닝가새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,101_Anhinga_VO_13.wav,13,"On Anhinga, this bird is called Snakebird. It swims with only head and neck above water.",75
